2024-11-04 11:22:09.442  INFO 11900 --- [  restartedMain] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.30]
2024-11-04 11:22:09.463  INFO 11900 --- [  restartedMain] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2024-11-04 11:22:09.463  INFO 11900 --- [  restartedMain] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 561 ms
2024-11-04 11:22:09.524  INFO 11900 --- [  restartedMain] org.hibernate.jpa.internal.util.LogHelper : HHH000204: Processing PersistenceUnitInfo [name: default]
2024-11-04 11:22:09.528  INFO 11900 --- [  restartedMain] org.hibernate.cache.internal.RegionFactoryInitiator : HHH000026: Second-level cache disabled
2024-11-04 11:22:09.539  INFO 11900 --- [  restartedMain] org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo : No LoadTimeWeaver setup: ignoring JPA class transformer
2024-11-04 11:22:09.542  INFO 11900 --- [  restartedMain] com.zaxxer.hikari.HikariDataSource : HikariPool-4 - Starting...
2024-11-04 11:22:09.549  INFO 11900 --- [  restartedMain] com.zaxxer.hikari.pool.HikariPool : HikariPool-4 - Added connection com.mysql.cj.jdbc.ConnectionImpl@4dda344a
2024-11-04 11:22:09.550  INFO 11900 --- [  restartedMain] com.zaxxer.hikari.HikariDataSource : HikariPool-4 - Start completed.
2024-11-04 11:22:09.551  WARN 11900 --- [  restartedMain] org.hibernate.dialect.Dialect : HHH000511: The 5.5.5 version for [org.hibernate.dialect.MySQLDialect] is no longer supported, hence certain features may not work properly. The minimum supported version is 8.0.0. Check the community dialects project for available legacy versions.
2024-11-04 11:22:09.662  INFO 11900 --- [  restartedMain] org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-11-04 11:22:09.694  INFO 11900 --- [  restartedMain] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-11-04 11:22:09.840  WARN 11900 --- [  restartedMain] org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-11-04 11:22:09.962  INFO 11900 --- [  restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer : LiveReload server is running on port 35729
2024-11-04 11:22:09.975  INFO 11900 --- [  restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat started on port 8082 (http) with context path '/'
2024-11-04 11:22:09.980  INFO 11900 --- [  restartedMain] org.springframework.boot.devtools.autoconfigure.ConditionEvaluationDeltaLoggingListener : Condition evaluation unchanged
2024-11-04 11:22:11.393  INFO 11900 --- [   File Watcher] org.springframework.boot.devtools.autoconfigure.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener : Restarting due to 1 class path change (1 addition, 0 deletions, 0 modifications)
2024-11-04 11:22:11.400  INFO 11900 --- [      Thread-15] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2024-11-04 11:22:11.401  INFO 11900 --- [      Thread-15] com.zaxxer.hikari.HikariDataSource : HikariPool-4 - Shutdown initiated...
2024-11-04 11:22:11.404  INFO 11900 --- [      Thread-15] com.zaxxer.hikari.HikariDataSource : HikariPool-4 - Shutdown completed.
2024-11-04 11:22:11.632  INFO 11900 --- [  restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-11-04 11:22:11.647  INFO 11900 --- [  restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 13 ms. Found 4 JPA repository interfaces.
2024-11-04 11:22:11.732  INFO 11900 --- [  restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port 8082 (http)
2024-11-04 11:22:11.733  INFO 11900 --- [  restartedMain] org.apache.catalina.core.StandardService : Starting service [Tomcat]
2024-11-04 11:22:11.733  INFO 11900 --- [  restartedMain] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.30]
2024-11-04 11:22:11.749  INFO 11900 --- [  restartedMain] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2024-11-04 11:22:11.749  INFO 11900 --- [  restartedMain] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 255 ms
2024-11-04 11:22:11.788  INFO 11900 --- [  restartedMain] org.hibernate.jpa.internal.util.LogHelper : HHH000204: Processing PersistenceUnitInfo [name: default]
2024-11-04 11:22:11.790  INFO 11900 --- [  restartedMain] org.hibernate.cache.internal.RegionFactoryInitiator : HHH000026: Second-level cache disabled
2024-11-04 11:22:11.797  INFO 11900 --- [  restartedMain] org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo : No LoadTimeWeaver setup: ignoring JPA class transformer
2024-11-04 11:22:11.798  INFO 11900 --- [  restartedMain] com.zaxxer.hikari.HikariDataSource : HikariPool-5 - Starting...
2024-11-04 11:22:11.803  INFO 11900 --- [  restartedMain] com.zaxxer.hikari.pool.HikariPool : HikariPool-5 - Added connection com.mysql.cj.jdbc.ConnectionImpl@5c4152c3
2024-11-04 11:22:11.803  INFO 11900 --- [  restartedMain] com.zaxxer.hikari.HikariDataSource : HikariPool-5 - Start completed.
2024-11-04 11:22:11.804  WARN 11900 --- [  restartedMain] org.hibernate.dialect.Dialect : HHH000511: The 5.5.5 version for [org.hibernate.dialect.MySQLDialect] is no longer supported, hence certain features may not work properly. The minimum supported version is 8.0.0. Check the community dialects project for available legacy versions.
